Latitude,Longitude,Year,Month,Day,displacement,count
-34.11658,151.2231,2016,2,2,-23.7853043521626,24
-34.11658,151.2231,2016,2,16,-288.0137843654367,24
-34.11658,151.2231,2016,2,17,-39.40246472144856,24
-34.11658,151.2231,2016,2,18,205.06591629156688,24
-34.11658,151.2231,2016,2,19,-42.39034442535219,24
-34.11658,151.2231,2016,2,20,-159.89770287632317,24
-34.11658,151.2231,2016,2,21,76.32616662144753,24
-34.11658,151.2231,2016,2,22,302.65725869702845,24
-34.11658,151.2231,2016,2,23,372.56218863852126,24
-34.11658,151.2231,2016,2,24,396.2870353608921,24
-34.11658,151.2231,2016,2,25,-44.678188415881046,24
-34.11658,151.2231,2016,2,26,54.637787428893745,24
-34.11658,151.2231,2016,2,27,78.34036028765802,24
-34.11658,151.2231,2016,2,28,18.204110528256727,24
-34.11658,151.2231,2016,2,29,-73.6310291249555,24
-34.11658,151.2231,2016,3,1,283.43809638437756,24
-34.11658,151.2231,2016,3,25,-143.84779315695133,24
-34.11658,151.2231,2016,3,26,62.99685024269055,24
-34.11658,151.2231,2016,3,27,4.788880675585022,24
-34.11658,151.2231,2016,3,28,-355.6181423943388,24
-34.11658,151.2231,2016,3,29,-266.1981259522686,24
-34.11658,151.2231,2016,3,30,-340.3732737453471,24
-34.11658,151.2231,2016,3,31,-79.08812570876229,24
-34.11658,151.2231,2016,4,1,168.95680140349478,24
-34.11658,151.2231,2016,4,2,-192.46845543133824,24
-34.11658,151.2231,2016,4,3,-97.17450295795237,24
-34.11658,151.2231,2016,4,4,173.23656519662643,24
-34.11658,151.2231,2016,4,5,356.16544304297673,24
-34.11658,151.2231,2016,4,6,-156.5661692767628,24
-34.11658,151.2231,2016,4,7,-78.06034600230733,24
-34.11658,151.2231,2016,4,8,-97.6358901326761,24
-34.11658,151.2231,2016,4,18,-216.46058851699772,24
-34.11658,151.2231,2016,4,19,-31.581156614744422,24
-34.11658,151.2231,2016,4,20,113.56488459246579,24
-34.11658,151.2231,2016,4,21,-9.44730015004275,24
-34.11658,151.2231,2016,4,22,-602.619379897565,24
-34.11658,151.2231,2016,4,23,-414.8411637458368,24
-34.11658,151.2231,2016,4,24,-25.086734382936715,24
-34.11658,151.2231,2016,4,25,37.693741184711044,24
-34.11658,151.2231,2016,4,26,108.97646868934595,24
-34.11658,151.2231,2016,4,27,174.71618613625955,24
