"Southeast.Winds","Northeast.Winds","Abundance"
0.45,-1.8,0.00251624972802608
0.5,-1.8,0.00255488635033117
0.55,-1.8,0.00259324091623686
0.6,-1.8,0.00263128311369879
0.65,-1.8,0.00266898249938318
0.7,-1.8,0.00270630853812731
0.75,-1.8,0.0027432306431282
0.8,-1.8,0.00277971821678775
0.85,-1.8,0.00281574069214041
0.9,-1.8,0.00285126757478686
0.95,-1.8,0.00288626848525497
1,-1.8,0.00292071320170734
1.05,-1.8,0.00295457170291268
1.1,-1.8,0.00298781421139695
1.15,-1.8,0.00302041123668827
1.2,-1.8,0.00305233361856895
1.25,-1.8,0.00308355257024645
1.3,-1.8,0.00311403972135459
1.35,-1.8,0.0031437671606958
1.4,-1.8,0.00317270747863467
1.45,-1.8,0.00320083380905324
1.5,-1.8,0.00322811987077843
1.55,-1.8,0.00325454000839255
1.6,-1.8,0.00328006923233847
1.65,-1.8,0.00330468325823183
1.7,-1.8,0.00332835854529405
1.75,-1.8,0.003351072333821
1.8,-1.8,0.00337280268160401
1.85,-1.8,0.00339352849922182
1.9,-1.8,0.00341322958412393
1.95,-1.8,0.00343188665342845
2,-1.8,0.00344948137535989
-2,-1.75,0.000823542662944947
-1.95,-1.75,0.000850030869779037
-1.9,-1.75,0.00087707499065848
-1.85,-1.75,0.000904674171274156
-1.8,-1.75,0.000932826959590974
-1.75,-1.75,0.000961531289031508
-1.7,-1.75,0.000990784462186266
-1.65,-1.75,0.00102058313510045
-1.6,-1.75,0.00105092330218724
-1.55,-1.75,0.0010818002818177
-1.5,-1.75,0.00111320870263713
-1.45,-1.75,0.00114514249065779
-1.4,-1.75,0.00117759485717705
-1.35,-1.75,0.00121055828756992
-1.3,-1.75,0.00124402453100397
-1.25,-1.75,0.00127798459112395
-1.2,-1.75,0.00131242871775223
-1.15,-1.75,0.00134734639965035
-1.1,-1.75,0.00138272635838537
-1.05,-1.75,0.00141855654334341
-1,-1.75,0.00145482412793108
-0.95,-1.75,0.00149151550700391
-0.9,-1.75,0.00152861629555864
-0.85,-1.75,0.00156611132872457
-0.8,-1.75,0.00160398466308654
-0.75,-1.75,0.00164221957937014
-0.7,-1.75,0.00168079858651692
-0.65,-1.75,0.00171970342717487
-0.6,-1.75,0.00175891508462679
-0.55,-1.75,0.00179841379117594
-0.5,-1.75,0.00183817903800565
-0.45,-1.75,0.00187818958652634
-0.4,-1.75,0.00191842348121994
-0.35,-1.75,0.0019588580639888
-0.3,-1.75,0.00199946999001216
-0.25,-1.75,0.00204023524511036
-0.2,-1.75,0.00208112916461273
-0.15,-1.75,0.00212212645372202
-0.0999999999999999,-1.75,0.00216320120936398
-0.0499999999999998,-1.75,0.00220432694350748
0,-1.75,0.00224547660793613
0.0500000000000003,-1.75,0.00228662262044917
0.1,-1.75,0.00232773689246504
0.15,-1.75,0.00236879085799758
0.2,-1.75,0.00240975550397069
0.25,-1.75,0.00245060140183366
0.3,-1.75,0.00249129874043562
