year,month,Monthly_Rain,count,,,,,,,
1987,1,38.9,24,,,,,,,
1987,2,95.7,22,,,,,,,
1987,3,99.5,26,,,,,,,
1987,4,19,26,,,,,,,
1987,5,97.8,25,,,,,,,
1987,6,52,26,,,,,,,
1987,7,53.5,31,,,,,,,
1987,8,297.4,23,,,,,,,
1987,9,6.1,28,,,,,,,
1987,10,390.2,22,,,,,,,
1987,11,126.2,30,,,,,,,
1987,12,88,25,,,,,,,
1988,1,97,22,,,,,,,
1988,2,48.8,25,,,,,,,
1988,3,94.1,24,,,,,,,
1988,4,611.8,24,,,,,,,
1988,5,159.1,26,,,,,,,
1988,6,36.4,28,,,,,,,
1988,7,106,27,,,,,,,
1988,8,28.8,23,,,,,,,
1988,9,106.8,26,,,,,,,
1988,10,1.5,29,,,,,,,
1988,11,172,24,,,,1990,730.7,,
1988,12,133.5,21,,,,1991,148.6,,
1989,1,207.8,22,,,,1992,893.4,,
1989,2,85.2,22,,,,1993,419.4,,
1989,3,153,21,,,,1994,155.4,,
1989,4,369.3,22,,,,1995,334.2,,
1989,5,294.5,23,,,,1996,240.2,,
1989,6,251.8,23,,,,1997,362.6,,
1989,7,28.4,23,,,,1998,200.6,,
1989,8,21.6,25,,,,1999,353.6,,
1989,9,1.3,26,,,,2000,152.8,,
1989,10,10.9,27,,,,2001,218.4,,
1989,11,150.2,22,,,,2002,492.6,,
1989,12,175.4,27,,,,2003,212,,
1990,1,101.7,21,,,,2004,211.6,,
1990,2,453.6,20,,,,,,,
1990,3,191.2,25,,,,,,,
1990,4,448.4,21,,,,,,,
1990,5,252.6,25,,,,,,,
1990,6,28.2,25,,,,,,,
1990,7,50.8,31,,,,,,,
1990,8,228.2,25,,,,,,,
1990,9,66.5,22,,,,,,,
1990,10,33.3,24,,,,,,,
1990,11,67.8,24,,,,,,,
1990,12,12.8,27,,,,,,,
1991,1,70,26,,,,,,,
1991,2,65.8,22,,,,,,,
1991,3,1.6,27,,,,1994,308,,
1991,4,26.1,24,,,,1995,519.2,,
1991,5,105.8,25,,,,1996,264.1,,
1991,6,539.4,27,,,,1997,427.4,,
1991,7,74.6,27,,,,1998,237.6,,
1991,8,7.2,31,,,,1999,435.4,,
1991,9,16.6,30,,,,2000,318,,
1991,10,12.2,28,,,,2001,380,,
1991,11,37.5,26,,,,2002,692.4,,
1991,12,365.2,21,,,,2003,301.2,,
1992,1,96.8,23,,,,2004,321.4,,
1992,2,431.4,21,,,,,,,
1992,3,150.4,23,,,,,,,
1992,4,108.6,26,,,,,,,
1992,5,40.5,31,,,,,,,
1992,6,102.5,30,,,,,,,
1992,7,16.6,31,,,,,,,
1992,8,10.2,31,,,,,,,
1992,9,21.9,30,,,,,,,
1992,10,65.3,31,,,,,,,
1992,11,136.3,30,,,,,,,
1992,12,216.2,31,,,,,,,
1993,1,127,31,,,,1993,155.2,,
1993,2,76.2,28,,,,1994,168.2,,
1993,3,131.4,31,,,,1995,358.6,,
1993,4,17.6,30,,,,1996,382.8,,
1993,5,30.4,31,,,,1997,207.4,,
1993,6,40.8,30,,,,1998,421.6,,
1993,7,66.4,31,,,,1999,367.4,,
